'woodp'=>2080000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599196,'upkeep'=>0
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599188,'upkeep'=>0
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956588,'upkeep'=>35119
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599188,'upkeep'=>0
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>2400000,'clayp'=>2400000,'ironp'=>2400000,'cropp'=>3599188,'upkeep'=>0
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71429586,'upkeep'=>2069017
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956483,'upkeep'=>35224
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8558833763,'upkeep'=>8588257070
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956378,'upkeep'=>35329
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8758714890,'upkeep'=>8788138197
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8759099023,'upkeep'=>8788522330
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71426539.6,'upkeep'=>2072063.4
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71426539.6,'upkeep'=>2072063.4
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8759088444,'upkeep'=>8788511751
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71426354.4,'upkeep'=>2072248.6
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520557,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71426216.2,'upkeep'=>2072386.8
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956316,'upkeep'=>35391
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956316,'upkeep'=>35391
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956316,'upkeep'=>35391
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8758677866,'upkeep'=>8788101173
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71426078,'upkeep'=>2072525
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956308,'upkeep'=>35399
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8959051420,'upkeep'=>8988474727
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956308,'upkeep'=>35399
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956308,'upkeep'=>35399
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8958646010,'upkeep'=>8988069317
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956267,'upkeep'=>35440
'woodp'=>20470000,'clayp'=>10320000,'ironp'=>9928000,'cropp'=>-199520567,'upkeep'=>219643287
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956267,'upkeep'=>35440
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8959029781,'upkeep'=>8988453088
'woodp'=>29400000,'clayp'=>44100000,'ironp'=>31160000,'cropp'=>71424900.4,'upkeep'=>2073702.6
'woodp'=>24500000,'clayp'=>19600000,'ironp'=>14700000,'cropp'=>29398415,'upkeep'=>100
'woodp'=>6212000,'clayp'=>6227000,'ironp'=>6577000,'cropp'=>4956256,'upkeep'=>35451
'woodp'=>19624000,'clayp'=>14754000,'ironp'=>19624000,'cropp'=>-8958618961,'upkeep'=>8988042268
